date,seconds,weather,simulation
04.05.2016 15:12,505450,19,22.411472
04.05.2016 16:24,509769,20,22.312905
04.05.2016 17:36,514088,20,22.699481
04.05.2016 18:48,518408,20,22.630965
04.05.2016 19:49,522012,20,23.162926
04.05.2016 20:49,525617,20,22.899416
04.05.2016 21:49,529221,20,24.578657
04.05.2016 22:49,532826,21,30.942262
04.05.2016 23:49,536430,22,34.343262
05.05.2016 00:49,540035,23,37.3829
05.05.2016 02:01,544339,23,40.232399
05.05.2016 03:12,548644,23,41.246679
05.05.2016 04:24,552948,24,41.273035
05.05.2016 05:36,557253,23,41.296851
05.05.2016 06:48,561558,24,38.791436
05.05.2016 07:48,565158,23,37.37437
05.05.2016 08:48,568758,22,33.325232
05.05.2016 09:48,572358,22,28.257187
05.05.2016 10:48,575958,21,24.891277
05.05.2016 11:48,579558,21,24.442529
05.05.2016 12:48,583158,21,24.366995
05.05.2016 13:48,586758,20,24.259384
05.05.2016 14:48,590358,20,23.710374
05.05.2016 15:48,593958,20,23.682423
05.05.2016 16:48,597558,20,23.592008
05.05.2016 17:48,601158,19,23.522917
05.05.2016 18:48,604758,20,22.99524
05.05.2016 19:48,608361,20,22.927485
05.05.2016 20:48,611964,20,22.871458
05.05.2016 21:48,615567,20,23.155935
05.05.2016 22:48,619170,21,24.239965
05.05.2016 23:48,622773,24.6,25.420794
06.05.2016 00:48,626376,27,28.022956
06.05.2016 01:48,629978,29,30.033547
06.05.2016 02:48,633580,21.73,31.661874
06.05.2016 03:48,637182,21.35,27.083195
06.05.2016 04:48,640784,34,26.821173
06.05.2016 05:48,644386,35,34.838549
06.05.2016 06:48,647988,35,35.152433
06.05.2016 07:48,651598,32,34.546867
06.05.2016 08:48,655208,32,32.039777
06.05.2016 09:49,658818,30,31.065538
06.05.2016 10:49,662428,28,28.817597
06.05.2016 11:49,666038,28,27.516367
06.05.2016 12:49,669648,28,27.493092
06.05.2016 14:01,673962,28,27.474864
06.05.2016 15:13,678276,27,27.460372
06.05.2016 16:25,682591,27,26.802245
06.05.2016 17:37,686905,27,26.785892
06.05.2016 18:49,691220,27,26.773636
06.05.2016 20:01,695533,25,26.762569
06.05.2016 21:12,699846,26,25.54112
06.05.2016 22:24,704159,26,26.974553
06.05.2016 23:36,708472,29,28.285139
07.05.2016 00:48,712786,30,31.205168
07.05.2016 01:48,716394,31,31.912249
07.05.2016 02:48,720002,29.9,32.910269
07.05.2016 03:48,723610,31,32.36049
07.05.2016 04:49,727218,32,33.110356
07.05.2016 05:49,730826,30.5,33.637921
07.05.2016 06:49,734435,32,32.34455
07.05.2016 08:01,738744,31,32.79455
07.05.2016 09:13,743054,31,31.363364
07.05.2016 10:24,747364,31,29.931423
07.05.2016 11:36,751674,28.2,29.671833
07.05.2016 12:48,755984,29,27.848844
07.05.2016 14:00,760298,28,28.333065
07.05.2016 15:12,764613,27.6,27.680428
